ProdId,TimeId,BTC_price,ETH_price,Price_USD,NVDA_stock,AMD_stock,PPI
1,20140917,123,1.3,601.7384131,4.79125,3.84,58.8
1,20140918,125.015,1.365,551.8852765,4.83375,3.82,58.8
1,20140919,129.785,1.305,548.0988961,4.82125,3.875,58.8
1,20140922,131.06,1.26,547.9330784,4.7925,3.79,58.8
1,20140923,133.31,1.27,548.1468175,4.7175,3.74,58.8
1,20140924,130.085,1.305,547.7821775,4.72,3.72,58.8
1,20140926,128.09,1.33,548.2555101,4.6775,3.66,58.8
1,20140929,130.125,1.275,545.5260371,4.6475,3.635,58.8
1,20140930,129.625,1.255,547.5923397,4.60875,3.6,58.8
1,20141001,128.15,1.23,548.3262106,4.60125,3.49,58.8
1,20141002,128.49,1.18,549.2382445,4.60375,3.36,58.8
1,20141006,122.225,1.0553375,550.8014127,4.5125,3.36,58.8
1,20141007,119.25,1.03989,551.02649,4.5975,3.415,58.8
1,20141008,121.47,0.971416,549.9657795,4.55625,3.37,58.8
1,20141010,121.685,0.9105735,548.448642,4.51625,3.33,58.8
1,20141013,120.175,0.9625945,547.5507962,4.515,3.245,58.8
1,20141014,112.71,0.9271685,548.3256063,4.495,3.07,58.8
1,20141015,109.36,0.870168,548.6841105,4.33375,2.83,58.8
1,20141016,98.745,0.861005,551.3964835,4.25875,2.79,58.8
1,20141017,102.55,0.8728335,550.2386825,4.32125,2.675,58.8
1,20141020,106.8,0.910473,548.1397367,4.29375,2.625,58.8
1,20141021,109.26,0.9178135,548.4302433,4.3425,2.63,58.8
1,20141022,105.415,0.892281,549.07329,4.40125,2.76,58.8
1,20141023,101.35,0.897023,548.4578067,4.37875,2.7,58.8
1,20141024,100.85,0.8510155,548.3069001,4.49875,2.73,58.8
1,20141027,100.275,0.769205,548.2822626,4.53,2.72,58.8
1,20141028,100.605,0.748436,549.2430264,4.56125,2.68,58.8
1,20141029,106.07,0.755223,548.3063319,4.61,2.7,58.8
1,20141030,107.995,0.6413695,554.4897959,4.60375,2.68,58.8
1,20141031,110.9,0.617088,548.9540488,4.67125,2.72,58.8
1,20141103,111.34,0.6912915,549.9029369,4.7,2.77,58.7
1,20141104,108.735,0.6951065,549.5184767,4.66125,2.745,58.7
1,20141105,107.515,0.6728625,549.885689,4.82125,2.79,58.7
1,20141106,104.655,0.692343,550.3049618,4.97875,2.855,58.7
1,20141107,103.74,0.676921,548.8263365,4.98375,2.83,58.7
1,20141110,104.14,0.649444,549.185688,5.03,2.82,58.7
1,20141111,102.55,0.630087,549.1809391,5.01375,2.775,58.7
1,20141112,97.035,0.629362,550.1560099,5.035,2.78,58.7
1,20141113,96.495,0.6125545,551.2192811,4.98375,2.78,58.7
